Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,Time(s)
15.90445219,0.224914722,-0.214233562,-0.601501924,,15.91
15.96658529,0.224914722,-0.21667497,-0.61248826,,15.97
16.02840889,0.222168138,-0.219421554,-0.596313932,,16.03
16.0914554,0.21667497,-0.222168138,-0.609741676,,16.1
16.15342813,0.200500641,-0.230407891,-0.604248508,,16.16
16.21550317,0.227661307,-0.214233562,-0.601501924,,16.22
16.2796071,0.219421554,-0.214233562,-0.623169421,,16.28
16.3414384,0.235901059,-0.20599381,-0.599060516,,16.35
16.4024262,0.203247225,-0.238342467,-0.617981429,,16.41
16.4654169,0.21667497,-0.224914722,-0.590820763,,16.47
16.52741722,0.222168138,-0.21667497,-0.593567347,,16.53
16.59150383,0.208740394,-0.214233562,-0.609741676,,16.6
16.65487202,0.211486978,-0.222168138,-0.599060516,,16.66
16.71756285,0.227661307,-0.211486978,-0.601501924,,16.72
16.77939382,0.214233562,-0.203247225,-0.615234844,,16.78
16.83954903,0.224914722,-0.222168138,-0.596313932,,16.84
16.90262793,0.211486978,-0.20599381,-0.601501924,,16.91
16.9654958,0.20599381,-0.214233562,-0.606995092,,16.97
17.02743101,0.214233562,-0.214233562,-0.606995092,,17.03
17.08970361,0.224914722,-0.208740394,-0.609741676,,17.09
17.15247944,0.214233562,-0.20599381,-0.617981429,,17.16
17.21550606,0.211486978,-0.21667497,-0.599060516,,17.22
17.27648616,0.222168138,-0.222168138,-0.61248826,,17.28
17.34050606,0.222168138,-0.219421554,-0.601501924,,17.35
17.60624836,0.214233562,-0.233154475,-0.609741676,,17.61
17.68631686,0.227661307,-0.222168138,-0.61248826,,17.69
17.71547591,0.227661307,-0.222168138,-0.61248826,,17.72
17.77570937,0.219421554,-0.211486978,-0.615234844,,17.78
17.83961542,0.219421554,-0.235901059,-0.606995092,,17.84
17.90172414,0.222168138,-0.20599381,-0.620728013,,17.91
17.96351983,0.222168138,-0.21667497,-0.61248826,,17.97
18.02560001,0.219421554,-0.203247225,-0.601501924,,18.03
18.08765484,0.219421554,-0.208740394,-0.604248508,,18.09
18.15146275,0.21667497,-0.222168138,-0.599060516,,18.16
18.21250443,0.222168138,-0.219421554,-0.606995092,,18.22
18.27450057,0.21667497,-0.208740394,-0.599060516,,18.28
18.33963402,0.20599381,-0.208740394,-0.606995092,,18.34
18.40180881,0.20599381,-0.211486978,-0.617981429,,18.41
18.46243194,0.227661307,-0.214233562,-0.604248508,,18.47
18.52457113,0.219421554,-0.214233562,-0.604248508,,18.53
18.58665355,0.219421554,-0.211486978,-0.604248508,,18.59
18.65061155,0.227661307,-0.208740394,-0.606995092,,18.66
