Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag
7.046689382,0.20599381,-0.211486978,-0.606995092
7.111339821,0.219421554,-0.211486978,-0.606995092
7.171694835,0.214233562,-0.203247225,-0.606995092
7.233847814,0.224914722,-0.197754057,-0.620728013
7.296993747,0.219421554,-0.20599381,-0.606995092
7.360711528,0.214233562,-0.195007473,-0.615234844
7.421811898,0.224914722,-0.20599381,-0.601501924
7.484027739,0.222168138,-0.197754057,-0.604248508
7.545720161,0.208740394,-0.214233562,-0.609741676
7.608705413,0.21667497,-0.203247225,-0.604248508
7.670803228,0.219421554,-0.208740394,-0.604248508
7.732714383,0.214233562,-0.195007473,-0.61248826
7.79584396,0.224914722,-0.197754057,-0.606995092
7.857732664,0.227661307,-0.20599381,-0.601501924
7.921085784,0.214233562,-0.214233562,-0.625916005
7.982987959,0.224914722,-0.20599381,-0.606995092
8.045362557,0.227661307,-0.197754057,-0.599060516
8.107710855,0.214233562,-0.197754057,-0.599060516
8.169892379,0.214233562,-0.195007473,-0.599060516
8.232751266,0.222168138,-0.208740394,-0.604248508
8.295044401,0.20599381,-0.211486978,-0.617981429
8.357428299,0.214233562,-0.203247225,-0.596313932
8.420553386,0.222168138,-0.197754057,-0.61248826
8.482118162,0.230407891,-0.197754057,-0.615234844
8.544874739,0.214233562,-0.208740394,-0.620728013
8.608917731,0.211486978,-0.192260889,-0.604248508
8.668829186,0.214233562,-0.21667497,-0.609741676
8.731963253,0.222168138,-0.195007473,-0.61248826
8.793822451,0.222168138,-0.203247225,-0.599060516
8.85680642,0.21667497,-0.20599381,-0.609741676
8.920816699,0.211486978,-0.195007473,-0.601501924
8.98078428,0.227661307,-0.195007473,-0.61248826
9.043938873,0.208740394,-0.197754057,-0.596313932
9.105780752,0.214233562,-0.21667497,-0.620728013
9.168930534,0.214233562,-0.211486978,-0.601501924
9.231961008,0.222168138,-0.200500641,-0.601501924
9.29277305,0.203247225,-0.211486978,-0.609741676
9.355822446,0.230407891,-0.197754057,-0.601501924
9.419791031,0.189819481,-0.195007473,-0.606995092
9.481121038,0.211486978,-0.214233562,-0.604248508
9.54500431,0.219421554,-0.219421554,-0.609741676
9.604892032,0.211486978,-0.184326313,-0.609741676
9.667874077,0.21667497,-0.219421554,-0.609741676
9.72978876,0.21667497,-0.181579728,-0.604248508
10.1971348,0.233154475,-0.200500641,-0.615234844
10.32994662,0.197754057,-0.200500641,-0.61248826
10.35381312,0.197754057,-0.200500641,-0.61248826
10.41690999,0.230407891,-0.214233562,-0.609741676
10.47887246,0.214233562,-0.208740394,-0.609741676
10.54281218,0.211486978,-0.197754057,-0.606995092
10.60411845,0.21667497,-0.200500641,-0.604248508
10.6659629,0.21667497,-0.208740394,-0.61248826
10.72907259,0.219421554,-0.211486978,-0.606995092
10.79082755,0.222168138,-0.208740394,-0.606995092
10.85297444,0.222168138,-0.192260889,-0.596313932
10.9161704,0.227661307,-0.211486978,-0.606995092
10.97798759,0.208740394,-0.203247225,-0.601501924
11.04089971,0.214233562,-0.211486978,-0.606995092
11.10318226,0.214233562,-0.21667497,-0.599060516
11.16519541,0.20599381,-0.203247225,-0.599060516
11.22783877,0.222168138,-0.222168138,-0.601501924
11.28996385,0.208740394,-0.189819481,-0.601501924
11.35185127,0.200500641,-0.21667497,-0.593567347
11.41598823,0.230407891,-0.203247225,-0.601501924
11.47685319,0.21667497,-0.20599381,-0.617981429
11.53986956,0.214233562,-0.197754057,-0.601501924
11.60295744,0.211486978,-0.20599381,-0.590820763
11.66415306,0.219421554,-0.208740394,-0.615234844
11.72733524,0.21667497,-0.208740394,-0.606995092
11.78905524,0.214233562,-0.214233562,-0.601501924
11.85187468,0.214233562,-0.222168138,-0.604248508
11.91391797,0.21667497,-0.20599381,-0.601501924
11.97589007,0.214233562,-0.195007473,-0.615234844
12.04090837,0.208740394,-0.195007473,-0.596313932
12.1037679,0.203247225,-0.214233562,-0.61248826
12.16386185,0.233154475,-0.203247225,-0.617981429
12.22701195,0.230407891,-0.200500641,-0.606995092
12.2880222,0.222168138,-0.214233562,-0.615234844
12.35194781,0.211486978,-0.197754057,-0.601501924
12.41500201,0.203247225,-0.200500641,-0.609741676
12.47601996,0.211486978,-0.203247225,-0.609741676
12.53990676,0.214233562,-0.211486978,-0.604248508
12.60012996,0.21667497,-0.197754057,-0.601501924
12.66526116,0.200500641,-0.195007473,-0.61248826
12.72495645,0.203247225,-0.208740394,-0.604248508
12.78792406,0.214233562,-0.214233562,-0.604248508
12.85202735,0.214233562,-0.208740394,-0.609741676
12.91217004,0.20599381,-0.21667497,-0.606995092
12.9768192,0.219421554,-0.203247225,-0.601501924
13.03891284,0.208740394,-0.195007473,-0.599060516
13.10039487,0.214233562,-0.208740394,-0.615234844
13.16392728,0.20599381,-0.208740394,-0.590820763
13.22388973,0.230407891,-0.20599381,-0.596313932
13.28707286,0.21667497,-0.211486978,-0.61248826
13.3491168,0.211486978,-0.203247225,-0.609741676
13.41201096,0.227661307,-0.214233562,-0.617981429
13.47394393,0.222168138,-0.208740394,-0.606995092
13.53595483,0.230407891,-0.21667497,-0.599060516
13.600968,0.219421554,-0.189819481,-0.61248826
13.66118382,0.222168138,-0.187072897,-0.604248508
13.72399428,0.214233562,-0.187072897,-0.61248826
13.78611166,0.219421554,-0.200500641,-0.623169421
13.84813314,0.214233562,-0.203247225,-0.609741676
13.91313349,0.20599381,-0.203247225,-0.604248508
13.9729885,0.224914722,-0.203247225,-0.604248508
14.03618382,0.219421554,-0.192260889,-0.599060516
14.09797214,0.214233562,-0.200500641,-0.61248826
14.16506039,0.230407891,-0.200500641,-0.593567347
14.22309017,0.230407891,-0.195007473,-0.615234844
14.28518445,0.214233562,-0.200500641,-0.596313932
14.34800389,0.222168138,-0.197754057,-0.617981429
14.43520812,0.208740394,-0.208740394,-0.615234844
14.49000439,0.214233562,-0.203247225,-0.606995092
14.55031258,0.21667497,-0.197754057,-0.609741676
14.61508361,0.214233562,-0.203247225,-0.61248826
14.68467989,0.211486978,-0.203247225,-0.606995092
14.7379941,0.219421554,-0.197754057,-0.601501924
14.80001462,0.222168138,-0.208740394,-0.599060516
14.86261437,0.227661307,-0.192260889,-0.601501924
14.92700855,0.224914722,-0.20599381,-0.609741676
14.98705054,0.208740394,-0.211486978,-0.609741676
15.04914162,0.222168138,-0.211486978,-0.606995092
15.11205503,0.208740394,-0.208740394,-0.606995092
15.17838862,0.208740394,-0.203247225,-0.606995092
15.23906596,0.222168138,-0.21667497,-0.601501924
15.29922918,0.227661307,-0.20599381,-0.604248508
15.36116278,0.21667497,-0.200500641,-0.604248508
15.42426606,0.230407891,-0.211486978,-0.601501924
15.48622404,0.21667497,-0.208740394,-0.606995092
15.54902424,0.224914722,-0.20599381,-0.61248826
15.6111971,0.208740394,-0.195007473,-0.590820763
15.67303673,0.208740394,-0.189819481,-0.620728013
15.73812528,0.227661307,-0.197754057,-0.617981429
15.79806977,0.211486978,-0.195007473,-0.590820763
15.86121346,0.233154475,-0.208740394,-0.617981429
15.92302807,0.219421554,-0.211486978,-0.601501924
15.98508195,0.20599381,-0.208740394,-0.599060516
